id,objectType,actor,verb,postedTime,generator,provider,link,body,object,favoritesCount,twitter_entities,twitter_filter_level,retweetCount,info,location,inReplyTo
"tag:search.twitter.com,2005:727077814822801408",activity,object,post,2016-05-02T10:10:34.000Z,object,object,http://twitter.com/TodaysCarNews/statuses/727077814822801408,Facelifted Volkswagen Amarok Gets New 3.5-Liter V6: Set to go on sale over the next few mont... https://t.co/thMganE5Ne #cars #carscoops,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:727078311965270017",activity,object,share,2016-05-02T10:12:32.000Z,object,object,http://twitter.com/cindiloo123/statuses/727078311965270017,RT @Conservative_VW: It will be such a relief to have someone in office that understands business and isn't a bought crony politician‼️ htt…,object,0,object,low,206,-,-,-
"tag:search.twitter.com,2005:727079006948958208",activity,object,share,2016-05-02T10:15:18.000Z,object,object,http://twitter.com/Hanna__Nichole/statuses/727079006948958208,RT @beetlebug1938: Me and coco. #vw #volkswagen #beetle #bug #vwbug #vwbeetle #vocho #vosvos #fusca #vintagevw #classic #classicvw #vi… htt…,object,0,object,low,1,-,-,-
"tag:search.twitter.com,2005:727079403344281600",activity,object,share,2016-05-02T10:16:52.000Z,object,object,http://twitter.com/EricTheCarGuy/statuses/727079403344281600,RT @theautowriter: VW sees light at end of tunnel after U.S. emissions deal https://t.co/D88oSMqHpj via @Reuters,object,0,object,low,1,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,object,-,-
"tag:search.twitter.com,2005:653898208284930048",activity,object,post,2015-10-13T11:40:56.000Z,object,object,http://twitter.com/EINSoftwareNews/statuses/653898208284930048,Volkswagen to switch to new diesel emissions technology in Europe and North America and cut investment http://t.co/jUfF51w2FU,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:653898207844544512",activity,object,post,2015-10-13T11:40:56.000Z,object,object,http://twitter.com/cmroberson06/statuses/653898207844544512,Volkswagen to cut spending by $1.1bn &amp; more focus on plug-in hybrids &amp; other electric-powered vehicles http://t.co/5cNeTDgzh9 via @business,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:653898111924867072",activity,object,post,2015-10-13T11:40:33.000Z,object,object,http://twitter.com/MadBiz/statuses/653898111924867072,German investor confidence down as VW adds to worries http://t.co/tHXHJygLFZ,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:653898056224653312",activity,object,post,2015-10-13T11:40:20.000Z,object,object,http://twitter.com/yourconnexion/statuses/653898056224653312,"The Investment Tax Credit, the Clean Power Plan and What Solar Can Learn from Volkswagen http://t.co/O6hgNz3OI3",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:653898090198528001",activity,object,post,2015-10-13T11:40:28.000Z,object,object,http://twitter.com/yescomputers/statuses/653898090198528001,"Volkswagen identifies 1,950 faulty cars in China, could have EU loans recalled http://t.co/DIgSlBHRj1",object,0,object,low,0,-,-,-
